manuscript_type,novel_biologging,other_data,biologging_fair,other_fair,authors,title,source,year,volume,issue,doi,pub_type,id
,,,,,"Chandroo, KP; Cooke, SJ; McKinley, RS; Moccia, RD","Use of electromyogram telemetry to assess the behavioural and energetic responses of rainbow trout, Oncorhynchus mykiss (Walbaum) to transportation stress",AQUACULTURE RESEARCH,2005,36,12,10.1111/j.1365-2109.2005.01347.x,J,chandroo2005
,,,,,"Guy, LS; Duffy-Anderson, J; Matarese, AC; Mordy, CW; Napp, JM; Stabeno, PJ",Understanding Climate Control of Fisheries Recruitment in the Eastern Bering Sea,OCEANOGRAPHY,2014,27,4,10.5670/oceanog.2014.89,J,guy2014
,,,,,"Body, G; Weladji, RB; Holand, O; Nieminen, M",Measuring variation in the frequency of group fission and fusion from continuous monitoring of group sizes,JOURNAL OF MAMMALOGY,2015,96,4,10.1093/jmammal/gyv084,J,body2015b
,,,,,"Lovarelli, D; Brandolese, C; Leliveld, L; Finzi, A; Riva, E; Grotto, M; Provolo, G",Development of a New Wearable 3D Sensor Node and Innovative Open Classification System for Dairy Cows' Behavior,ANIMALS,2022,12,11,10.3390/ani12111447,J,lovarelli2022
,,,,,"Curtis, DL; Mcgaw, IJ",Salinity and thermal preference of Dungeness crabs in the lab and in the field: Effects of food availability and starvation,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2012,413,NA,10.1016/j.jembe.2011.12.005,J,curtis2012
,,,,,"Cook, TR; Lescroel, A; Tremblay, Y; Bost, CA","To breathe or not to breathe? Optimal breathing, aerobic dive limit and oxygen stores in deep-diving blue-eyed shags",ANIMAL BEHAVIOUR,2008,76,NA,10.1016/j.anbehav.2008.02.010,J,cook2008b
,,,,,"Nejati, A; Bradtmueller, A; Shepley, E; Vasseur, E",Technology applications in bovine gait analysis: A scoping review,PLOS ONE,2023,18,1,10.1371/journal.pone.0266287,J,nejati2023
,,,,,"DelCurto-Wyffels, HM; Dafoe, JM; Parsons, CT; Boss, DL; DelCurto, T; Wyffels, SA; Van Emon, ML; Bowman, JGP",The Influence of Environmental Conditions on Intake Behavior and Activity by Feedlot Steers Fed Corn or Barley-Based Diets,ANIMALS,2021,11,5,10.3390/ani11051261,J,delcurtowyffels2021
,,,,,"Watts, JM; Stookey, JM",The propensity of cattle to vocalise during handling and isolation is affected by phenotype,APPLIED ANIMAL BEHAVIOUR SCIENCE,2001,74,2,10.1016/S0168-1591(01)00163-0,J,watts2001
,,,,,"Russell, DJF; McConnell, B; Thompson, D; Duck, C; Morris, C; Harwood, J; Matthiopoulos, J",Uncovering the links between foraging and breeding regions in a highly mobile mammal,JOURNAL OF APPLIED ECOLOGY,2013,50,2,10.1111/1365-2664.12048,J,russell2013
,,,,,"SAMUEL, MD; KENOW, KP",EVALUATING HABITAT SELECTION WITH RADIOTELEMETRY TRIANGULATION ERROR,JOURNAL OF WILDLIFE MANAGEMENT,1992,56,4,10.2307/3809466,J,samuel1992
,,,,,"Yoda, K; Shiomi, K; Sato, K",Foraging spots of streaked shearwaters in relation to ocean surface currents as identified using their drift movements,PROGRESS IN OCEANOGRAPHY,2014,122,NA,10.1016/j.pocean.2013.12.002,J,yoda2014
,,,,,"Thums, M; Bradshaw, CJA; Hindell, MA",In situ measures of foraging success and prey encounter reveal marine habitat-dependent search strategies,ECOLOGY,2011,92,6,10.1890/09-1299.1,J,thums2011
,,,,,"Law, B; Slade, C; Gonsalves, L; Brassil, T; Flanagan, C; Kerr, I",Tree use by koalas after timber harvesting in a mosaic landscape,WILDLIFE RESEARCH,2023,50,7,10.1071/WR22087,J,law2023
,,,,,"Pascoe, P; Lea, MA; Mattlin, RH; McMahon, CR; Harcourt, R; Thompson, D; Torres, L; Vinette-Herrin, K; Hindell, MA",Assessing the utility of two- and three-dimensional behavioural metrics in habitat usage models,MARINE ECOLOGY PROGRESS SERIES,2016,562,NA,10.3354/meps11947,J,pascoe2016
,,,,,"Costa, DP; Huckstadt, LA; Crocker, DE; McDonald, BI; Goebel, ME; Fedak, MA",Approaches to Studying Climatic Change and its Role on the Habitat Selection of Antarctic Pinnipeds,INTEGRATIVE AND COMPARATIVE BIOLOGY,2010,50,6,10.1093/icb/icq054,J,costa2010a
,,,,,"Hawkes, LA; Fahlman, A; Sato, K","What is physiologging? Introduction to the theme issue, part 2",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2021,376,1831,10.1098/rstb.2021.0028,J,hawkes2021b
,,,,,"de Beer, Y; Kilian, W; Versfeld, W; van Aarde, RJ","Elephants and low rainfall alter woody vegetation in Etosha National Park, Namibia",JOURNAL OF ARID ENVIRONMENTS,2006,64,3,10.1016/j.jaridenv.2005.06.015,J,debeer2006
,,,,,"Ponchon, A; Gremillet, D; Doligez, B; Chambert, T; Tveraa, T; Gonzalez-Solis, J; Boulinier, T","Tracking prospecting movements involved in breeding habitat selection: insights, pitfalls and perspectives",METHODS IN ECOLOGY AND EVOLUTION,2013,4,2,10.1111/j.2041-210x.2012.00259.x,J,ponchon2013
,,,,,"Fernandez-Ruiz, N; Estrada-Pena, A","Could climate trends disrupt the contact rates between lxodes ricinus (Acari, Ixodidae) and the reservoirs of Borrelia burgdorferi s.I.?",PLOS ONE,2020,15,5,10.1371/journal.pone.0233771,J,fernandezruiz2020
,,,,,"Cardona, L; Revelles, M; Parga, ML; Tomas, J; Aguilar, A; Alegre, F; Raga, A; Ferrer, X",Habitat use by loggerhead sea turtles Caretta caretta off the coast of eastern Spain results in a high vulnerability to neritic fishing gear,MARINE BIOLOGY,2009,156,12,10.1007/s00227-009-1288-9,J,cardona2009
,,,,,"Guy, AJ; Stone, OML; Curnoe, D","Assessment of the release of rehabilitated vervet monkeys into the Ntendeka Wilderness Area, KwaZulu-Natal, South Africa: a case study",PRIMATES,2012,53,2,10.1007/s10329-011-0292-0,J,guy2012b
,,,,,"Schweiger, AK; Schutz, M; Anderwald, P; Schaepman, ME; Kneubuhler, M; Haller, R; Risch, AC","Foraging ecology of three sympatric ungulate species - Behavioural and resource maps indicate differences between chamois, ibex and red deer",MOVEMENT ECOLOGY,2015,3,NA,10.1186/s40462-015-0033-x,J,schweiger2015
,,,,,"Sala, JE; Wilson, RP; Quintana, F",Foraging effort in Magellanic penguins: balancing the energy books for survival?,MARINE BIOLOGY,2015,162,3,10.1007/s00227-014-2581-9,J,sala2015
,,,,,"Luschi, P; Akesson, S; Broderick, AC; Glen, F; Godley, BJ; Papi, F; Hays, GC",Testing the navigational abilities of ocean migrants: displacement experiments on green sea turtles (Chelonia mydas),BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2001,50,6,10.1007/s002650100396,J,luschi2001
,,,,,"Thiebot, JB; Cherel, Y; Crawford, RJM; Makhado, AB; Trathan, PN; Pinaud, D; Bost, CA",A Space Oddity: Geographic and Specific Modulation of Migration in Eudyptes Penguins,PLOS ONE,2013,8,8,10.1371/journal.pone.0071429,J,thiebot2013
,,,,,"Studd, EK; Peers, MJL; Menzies, AK; Derbyshire, R; Majchrzak, YN; Seguin, JL; Murray, DL; Dantzer, B; Lane, JE; McAdam, AG; Humphries, MM; Boutin, S",Behavioural adjustments of predators and prey to wind speed in the boreal forest,OECOLOGIA,2022,200,3-4,10.1007/s00442-022-05266-w,J,studd2022
,,,,,"Lagos, N; Villalobos, R; Vianna, JA; Espinosa-Miranda, C; Rau, JR; Iriarte, A",The spatial and trophic ecology of culpeo foxes (Lycalopex culpaeus) in the high Andes of northern Chile,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,2021,NA,NA,10.1080/01650521.2021.2005393,J,lagos2021
,,,,,"Lam, FPA; Kvadsheim, PH; Miller, PJO; Tyack, PL; Ainslie, MA; Cure, C; Kleivane, L; Sivle, LD; van Ijsselmuide, SP; Visser, F; von Benda-Beckmann, AM; Wensveen, PJ; Dekeling, RPA",Controlled Sonar Exposure Experiments on Cetaceans in Norwegian Waters: Overview of the 3S-Project,EFFECTS OF NOISE ON AQUATIC LIFE II,2016,875,NA,10.1007/978-1-4939-2981-8_71,S,lam2016
,,,,,"Isbell, LA; Bidner, LR",Vervet monkey (Chlorocebus pygerythrus) alarm calls to leopards (Panthera pardus) function as a predator deterrent,BEHAVIOUR,2016,153,5,10.1163/1568539X-00003365,J,isbell2016
,,,,,"Zhang, VY; Gagorik, CN; Brenner, LJ; Boser, CL; Theimer, TC; Buck, CL",Interspecific Asymmetries in Behavioral Plasticity Drive Seasonal Patterns of Temporal Niche Partitioning in an Island Carnivore Community,INTEGRATIVE AND COMPARATIVE BIOLOGY,2022,62,4,10.1093/icb/icac113,J,zhang2022a
,,,,,"Hayman, DTS; McCrea, R; Restif, O; Suu-Ire, R; Fooks, AR; Wood, JLN; Cunningham, AA; Rowcliffe, JM",Demography of straw-colored fruit bats in Ghana,JOURNAL OF MAMMALOGY,2012,93,5,10.1644/11-MAMM-A-270.1,J,hayman2012
,,,,,"Thiem, JD; Wooden, IJ; Baumgartner, LJ; Butler, GL; Forbes, J; Taylor, MD; Watts, RJ","Abiotic drivers of activity in a large, freeranging, freshwater teleost, Murray cod (Maccullochella peelii)",PLOS ONE,2018,13,6,10.1371/journal.pone.0198972,J,thiem2018
,,,,,"Toth, A; Petyko, Z; Galosi, R; Szabo, I; Karadi, K; Feldmann, A; Peczely, L; Kallai, V; Karadi, Z; Lenard, L",Neuronal coding of auditory sensorimotor gating in medial prefrontal cortex,BEHAVIOURAL BRAIN RESEARCH,2017,326,NA,10.1016/j.bbr.2017.03.004,J,toth2017
,,,,,"Arias-Del Razo, I; Hernandez, L; Laundre, JW; Myers, O","Do predator and prey foraging activity patterns match? A study of coyotes (Canis latrans), and lagomorphs (Lepus californicus and Sylvilagus audobonii)",JOURNAL OF ARID ENVIRONMENTS,2011,75,2,10.1016/j.jaridenv.2010.09.008,J,ariasdelrazo2011
,,,,,"Klinard, NV; Halfyard, EA; Matley, JK; Fisk, AT; Johnson, TB","The influence of dynamic environmental interactions on detection efficiency of acoustic transmitters in a large, deep, freshwater lake",ANIMAL BIOTELEMETRY,2019,7,1,10.1186/s40317-019-0179-1,J,klinard2019
,,,,,"Wang, GM; McClintic, LF; Taylor, JD",Habitat selection by American beaver at multiple spatial scales,ANIMAL BIOTELEMETRY,2019,7,1,10.1186/s40317-019-0172-8,J,wang2019a
,,,,,"Heinrich, D; Dhellemmes, F; Guttridge, TL; Smukall, M; Brown, C; Rummer, J; Gruber, S; Huveneers, C","Short-term impacts of daily feeding on the residency, distribution and energy expenditure of sharks",ANIMAL BEHAVIOUR,2021,172,NA,10.1016/j.anbehav.2020.12.002,J,heinrich2021
,,,,,"Aurioles-Gamboa, D; Newsome, SD; Hassrick, JL; Acosta-Pachon, T; Aurioles-Rodriguez, F; Costa, DP",Use of N-15-enriched glycine to estimate vibrissa growth in free-ranging northern elephant seals Mirounga angustirostris,MARINE ECOLOGY PROGRESS SERIES,2019,614,NA,10.3354/meps12913,J,auriolesgamboa2019
,,,,,"Castellini, M",History of polar whaling: insights into the physiology of the great whales,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR AND INTEGRATIVE PHYSIOLOGY,2000,126,2,10.1016/S1095-6433(00)00209-9,J,castellini2000
,,,,,"Van Oort, BEH; Tyler, NJC; Storeheier, PV; Stokkan, KA","The performance and validation of a data logger for long-term determination of activity in free-ranging reindeer, Rangifer tarandus L.",APPLIED ANIMAL BEHAVIOUR SCIENCE,2004,89,3-4,10.1016/j.applanim.2004.06.009,J,vanoort2004
,,,,,"Alonso, JC; Abril-Colon, I; Palacin, C",Moonlight triggers nocturnal display in a diurnal bird,ANIMAL BEHAVIOUR,2021,171,NA,10.1016/j.anbehav.2020.11.011,J,alonso2021
,,,,,"Morant, J; Scacco, M; Safi, K; Gomez, JMA; Alvarez, T; Sanchez, A; Phipps, WL; Alanis, IC; Garcia, J; Prieta, J; Zuberogoitia, I; Lopez-Lopez, P","Environmental and social correlates, and energetic consequences of fitness maximisation on different migratory behaviours in a long-lived scavenger",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2022,76,8,10.1007/s00265-022-03223-4,J,morant2022
,,,,,"Hoskins, AJ; Dann, P; Ropert-Coudert, Y; Kato, A; Chiaradia, A; Costa, DP; Arnould, JPY","Foraging behaviour and habitat selection of the little penguin Eudyptula minor during early chick rearing in Bass Strait, Australia",MARINE ECOLOGY PROGRESS SERIES,2008,366,NA,10.3354/meps07507,J,hoskins2008
,,,,,"Webb, SL; Dzialak, MR; Harju, SM; Hayden-Wing, LD; Winstead, JB",Influence of land development on home range use dynamics of female elk,WILDLIFE RESEARCH,2011,38,2,10.1071/WR10101,J,webb2011a
,,,,,"Poessel, SA; Bloom, PH; Braham, MA; Katzner, TE",Age- and season-specific variation in local and long-distance movement behavior of golden eagles,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,2016,62,4,10.1007/s10344-016-1010-4,J,poessel2016
,,,,,"Keefer, ML; Jepson, MA; Clabough, TS; Johnson, EL; Narum, SR; Hess, JE; Caudill, CC",Sea-to-sea survival of late-run adult steelhead (Oncorhynchus mykiss) from the Columbia and Snake rivers,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2018,75,3,10.1139/cjfas-2016-0430,J,keefer2018
,,,,,"Thompson, RS; Christianson, JP; Maslanik, TM; Maier, SF; Greenwood, BN; Fleshner, M",Effects of stressor controllability on diurnal physiological rhythms,PHYSIOLOGY & BEHAVIOR,2013,112,NA,10.1016/j.physbeh.2013.02.009,J,thompson2013
,,,,,"Portugal, SJ; White, CR",Miniaturization of biologgers is not alleviating the 5% rule,METHODS IN ECOLOGY AND EVOLUTION,2018,9,7,10.1111/2041-210X.13013,J,portugal2018
,,,,,"Fournier, P; Maizeret, C; Jimenez, D; Chusseau, JP; Aulagnier, S; Spitz, F",Habitat utilization by sympatric European mink Mustela lutreola and polecats Mustela putorius in south-western France,ACTA THERIOLOGICA,2007,52,1,10.1007/BF03194194,J,fournier2007
,,,,,"Harriott, L; Allen, BL; Gentle, M",The effect of device density on encounters by a mobile urban carnivore: Implications for managing peri-urban wild dogs,APPLIED ANIMAL BEHAVIOUR SCIENCE,2021,243,NA,10.1016/j.applanim.2021.105454,J,harriott2021
,,,,,"Goetz, KT; McDonald, BI; Kooyman, GL","Habitat preference and dive behavior of non-breeding emperor penguins in the eastern Ross Sea, Antarctica",MARINE ECOLOGY PROGRESS SERIES,2018,593,NA,10.3354/meps12486,J,goetz2018
,,,,,"Ruthrauff, DR; Harwood, CM; Tibbitts, TL; Warnock, N; Gill, RE","Diverse patterns of migratory timing, site use, and site fidelity by Alaska-breeding Whimbrels",JOURNAL OF FIELD ORNITHOLOGY,2021,92,2,10.1111/jofo.12365,J,ruthrauff2021
,,,,,"Thomas, JP; Larter, NC; Jung, TS",Individual-based seasonal habitat selection in a forest-dwelling population of reintroduced bison Bison bison,WILDLIFE BIOLOGY,2021,2021,3,10.2981/wlb.00852,J,thomas2021b
,,,,,"Rozen-Rechels, D; Valls-Fox, H; Mabika, CT; Chamaille-Jammes, S",Temperature as a constraint on the timing and duration of African elephant foraging trips,JOURNAL OF MAMMALOGY,2020,101,6,10.1093/jmammal/gyaa129,J,rozenrechels2020
,,,,,"Sawalhah, MN; Cibils, AF; Maladi, A; Cao, HP; Vanleeuwen, DM; Holechek, JL; Rubio, CMB; Wesley, RL; Endecott, RL; Mulliniks, TJ; Petersen, MK",Forage and Weather Influence Day versus Nighttime Cow Behavior and Calf Weaning Weights on Rangeland,RANGELAND ECOLOGY & MANAGEMENT,2016,69,2,10.1016/j.rama.2015.10.007,J,sawalhah2016
,,,,,"McMahon, MC; Ditmer, MA; Isaac, EJ; Moore, SA; Forester, JD",Evaluating Unmanned Aerial Systems for the Detection and Monitoring of Moose in Northeastern Minnesota,WILDLIFE SOCIETY BULLETIN,2021,45,2,10.1002/wsb.1167,J,mcmahon2021a
,,,,,"Cristescu, B; Stenhouse, GB; Goski, B; Boyce, MS","Grizzly bear space use, survival, and persistence in relation to human habitation and access",HUMAN-WILDLIFE INTERACTIONS,2016,10,2,NA,J,cristescu2016b
,,,,,"Rheault, H; Anderson, CR; Bonar, M; Marrotte, RR; Ross, TR; Wittemyer, G; Northrup, JM",Some Memories Never Fade: Inferring Multi-Scale Memory Effects on Habitat Selection of a Migratory Ungulate Using Step-Selection Functions,FRONTIERS IN ECOLOGY AND EVOLUTION,2021,9,NA,10.3389/fevo.2021.702818,J,rheault2021
,,,,,"Maresh, JL; Adachi, T; Takahashi, A; Naito, Y; Crocker, DE; Horning, M; Williams, TM; Costa, DP",Summing the strokes: energy economy in northern elephant seals during large-scale foraging migrations,MOVEMENT ECOLOGY,2015,3,NA,10.1186/s40462-015-0049-2,J,maresh2015
,,,,,"Rodriguez, A; Mellado, R; Bustamante, H","Prepartum Fat Mobilization in Dairy Cows with Equal Body Condition and Its Impact on Health, Behavior, Milk Production and Fertility during Lactation",ANIMALS,2020,10,9,10.3390/ani10091478,J,rodriguez2020
,,,,,"Barlow, J; Moore, JE; McCullough, JLK; Griffiths, ET",Acoustic-based estimates of Cuvier's beaked whale (Ziphius cavirostris) density and abundance along the US West Coast from drifting hydrophone recorders,MARINE MAMMAL SCIENCE,2022,38,2,10.1111/mms.12872,J,barlow2022
,,,,,"Vergeynst, J; Vanwyck, T; Baeyens, R; De Mulder, T; Nopens, I; Mouton, A; Pauwels, I",Acoustic positioning in a reflective environment: going beyond point-by-point algorithms,ANIMAL BIOTELEMETRY,2020,8,1,10.1186/s40317-020-00203-1,J,vergeynst2020b
,,,,,"Carlsen, AA; Lorentsen, SH; Wright, J","Recovery, body mass and buoyancy: a detailed analysis of foraging dive cycles in the European shag",ANIMAL BEHAVIOUR,2021,178,NA,10.1016/j.anbehav.2021.05.010,J,carlsen2021
,,,,,"Downs, JA; Heller, JH; Loraamm, R; Stein, DO; McDaniel, C; Onorato, D",Accuracy of home range estimators for homogeneous and inhomogeneous point patterns,ECOLOGICAL MODELLING,2012,225,NA,10.1016/j.ecolmodel.2011.11.010,J,downs2012
,,,,,"Evans, K; McCauley, RD; Eveson, P; Patterson, T",A summary of oil and gas exploration in the Great Australian Bight with particular reference to southern bluefin tuna,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,2018,157,NA,10.1016/j.dsr2.2018.05.024,J,evans2018
,,,,,"Taylor, SS; Leonard, ML; Boness, DJ",Foraging trip duration increases for Humboldt Penguins tagged with recording devices,JOURNAL OF AVIAN BIOLOGY,2001,32,4,10.1111/j.0908-8857.2001.320413.x,J,taylor2001
,,,,,"Young, JK; Golla, J; Draper, JP; Broman, D; Blankenship, T; Heilbrun, R",Space Use and Movement of Urban Bobcats,ANIMALS,2019,9,5,10.3390/ani9050275,J,young2019
,,,,,"He, LY; Dai, Q; Yang, ZS; He, K; Qing, J; Huang, F; Gu, XD; Yang, XY; Huang, Y; Li, DS; Zhang, HM; Zhou, X","Assessing the health status of released, captive-bred giant pandas (Ailuropoda melanoleuca) through activity patterns",FOLIA ZOOLOGICA,2019,68,2,10.25225/fozo.054.2019,J,he2019
,,,,,"Johns, ME; Warzybok, P; Jahncke, J; Lindberg, M; Breed, GA",Oceanographic drivers of winter habitat use in Cassin's Auklets,ECOLOGICAL APPLICATIONS,2020,30,3,10.1002/eap.2068,J,johns2020
,,,,,"Muntifering, JR; Ditmer, MA; Stapleton, S; Naidoo, R; Harris, TH",Hartmann's mountain zebra resource selection and movement behavior within a large unprotected landscape in northwest Namibia,ENDANGERED SPECIES RESEARCH,2019,38,NA,10.3354/esr00941,J,muntifering2019
,,,,,"Beirne, C; Houslay, TM; Morkel, P; Clark, CJ; Fay, M; Okouyi, J; White, LJT; Poulsen, JR",African forest elephant movements depend on time scale and individual behavior,SCIENTIFIC REPORTS,2021,11,1,10.1038/s41598-021-91627-z,J,beirne2021
,,,,,"Walker, RH; Hutchinson, MC; Potter, AB; Becker, JA; Long, RA; Pringle, RM",Mechanisms of individual variation in large herbivore diets: Roles of spatial heterogeneity and state-dependent foraging,ECOLOGY,2023,104,2,10.1002/ecy.3921,J,walker2023
,,,,,"Planque, Y; Huon, M; Caurant, F; Pinaud, D; Vincent, C",Comparing the horizontal and vertical approaches used to identify foraging areas of two diving marine predators,MARINE BIOLOGY,2020,167,2,10.1007/s00227-019-3636-8,J,planque2020
,,,,,"Jorgensen, SJ; Arnoldi, NS; Estess, EE; Chapple, TK; Ruckert, M; Anderson, SD; Block, BA",Eating or Meeting? Cluster Analysis Reveals Intricacies of White Shark (Carcharodon carcharias) Migration and Offshore Behavior,PLOS ONE,2012,7,10,10.1371/journal.pone.0047819,J,jorgensen2012
,,,,,"Marchand, T; Le Gal, AS; Georges, JY",Fine scale behaviour and time-budget in the cryptic ectotherm European pond turtle Emys orbicularis,PLOS ONE,2021,16,10,10.1371/journal.pone.0256549,J,marchand2021a
,,,,,"Thompson, DP; Crouse, JA; Barboza, PS; Spathelf, MO; Herberg, AM; Parker, SD; Morris, MA",Behaviour influences thermoregulation of boreal moose during the warm season,CONSERVATION PHYSIOLOGY,2021,9,NA,10.1093/conphys/coaa130,J,thompson2021b
,,,,,"Ferraro, MS; Decker, RR; Costa, DP; Robinson, PW; Houser, DS; Crocker, DE",Evaluating gain functions in foraging bouts using vertical excursions in northern elephant seals,ANIMAL BEHAVIOUR,2017,129,NA,10.1016/j.anbehav.2017.05.007,J,ferraro2017
,,,,,"WAN, RQ; DIAMANT, M; DEJONG, W; DEWIED, D","DIFFERENTIAL-EFFECTS OF ACTH4-10, DG-AVP, AND DG-OXT ON HEART-RATE AND PASSIVE-AVOIDANCE BEHAVIOR IN RATS",PHYSIOLOGY & BEHAVIOR,1992,51,3,10.1016/0031-9384(92)90172-X,J,wan1992
,,,,,"Wang, YW; Smith, JA; Wilmers, CC","Residential development alters behavior, movement, and energetics in an apex predator, the puma",PLOS ONE,2017,12,10,10.1371/journal.pone.0184687,J,wang2017
,,,,,"Koen, EL; Tosa, MI; Nielsen, CK; Schauber, EM",Does landscape connectivity shape local and global social network structure in white-tailed deer?,PLOS ONE,2017,12,3,10.1371/journal.pone.0173570,J,koen2017
,,,,,"Latham, ADM; Boutin, S","Wolf, Canis lupus, Pup Mortality: Interspecific Predation or Non-Parental Infanticide?",CANADIAN FIELD-NATURALIST,2011,125,2,10.22621/cfn.v125i2.1199,J,latham2011
,,,,,"Lameris, TK; Dokter, AM; van der Jeugd, HP; Bouten, W; Koster, J; Sand, SHH; Westerduin, C; Nolet, BA",Nocturnal foraging lifts time constraints in winter for migratory geese but hardly speeds up fueling,BEHAVIORAL ECOLOGY,2021,32,3,10.1093/beheco/araa152,J,lameris2021
,,,,,"McLoughlin, PD; Cluff, HD; Gau, RJ; Mulders, R; Case, RL; Messier, F",Effect of spatial differences in habitat on home ranges of grizzly bears,ECOSCIENCE,2003,10,1,10.1080/11956860.2003.11682744,J,mcloughlin2003
,,,,,"Hindle, AG; Senkiw, RW; MacArthur, RA",Body cooling and the diving capabilities of muskrats (Ondatra zibethicus): A test of the adaptive hypothermia hypothesis,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,2006,144,2,10.1016/j.cbpa.2006.03.001,J,hindle2006
,,,,,"Aini, S; Sood, AM; Saaban, S","Analysing Elephant Habitat Parameters using GIS, Remote Sensing and Analytic Hierarchy Process in Peninsular Malaysia",PERTANIKA JOURNAL OF SCIENCE AND TECHNOLOGY,2015,23,1,NA,J,aini2015
,,,,,"Gotz, T; Pacini, AF; Nachtigall, PE; Janik, VM",The startle reflex in echolocating odontocetes: basic physiology and practical implications,JOURNAL OF EXPERIMENTAL BIOLOGY,2020,223,5,10.1242/jeb.208470,J,gotz2020
,,,,,"Zanon, T; Gruber, M; Gauly, M",Walking distance and maintenance energy requirements of sheep during mountain pasturing (transhumance),APPLIED ANIMAL BEHAVIOUR SCIENCE,2022,255,NA,10.1016/j.applanim.2022.105744,J,zanon2022
,,,,,"Gomez-Laich, A; Pantano, C; Wilson, RP; Svagelj, WS; Yoda, K; Gunner, R; Quintana, F",Leg rings impact the diving performance of a foot-propelled diver,IBIS,2022,164,1,10.1111/ibi.12998,J,gomezlaich2022
,,,,,"Lecomte, VJ; Sorci, G; Cornet, S; Jaeger, A; Faivre, B; Arnoux, E; Gaillard, M; Trouve, C; Besson, D; Chastel, O; Weimerskirch, H",Patterns of aging in the long-lived wandering albatross,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2010,107,14,10.1073/pnas.0911181107,J,lecomte2010
,,,,,"Paraskevopoulou, S; Pirzer, F; Goldmann, N; Schmid, J; Corman, VM; Gottula, LT; Schroeder, S; Rasche, A; Muth, D; Drexler, JF; Heni, AC; Eibner, GJ; Page, RA; Jones, TC; Muller, MA; Sommer, S; Glebe, D; Drosten, C",Mammalian deltavirus without hepadnavirus coinfection in the neotropical rodent Proechimys semispinosus,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2020,117,30,10.1073/pnas.2006750117,J,paraskevopoulou2020
,,,,,"Davis, RW; Worthy, GAJ; Wursig, B; Lynn, SK",Diving behavior and at-sea movements of an Atlantic spotted dolphin in the Gulf of Mexico,MARINE MAMMAL SCIENCE,1996,12,4,NA,J,davis1996
,,,,,"Guzman, HM; Condit, R; Perez-Ortega, B; Capella, JJ; Stevick, PT","Population size and migratory connectivity of humpback whales wintering in Las Perlas Archipelago, Panama",MARINE MAMMAL SCIENCE,2015,31,1,10.1111/mms.12136,J,guzman2015
,,,,,"Akesson, S; Ilieva, M; Karagicheva, J; Rakhimberdiev, E; Tomotani, B; Helm, B",Timing avian long-distance migration: from internal clock mechanisms to global flights,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2017,372,1734,10.1098/rstb.2016.0252,J,akesson2017
,,,,,"Drent, RH",The timing of birds' breeding seasons: the Perrins hypothesis revisited especially for migrants,ARDEA,2006,94,3,NA,J,drent2006b
,,,,,"Abrahms, B; Teitelbaum, CS; Mueller, T; Converse, SJ",Ontogenetic shifts from social to experiential learning drive avian migration timing,"NATURE COMMUNICATIONS",2021,12,1,10.1038/s41467-021-27626-5,J,abrahms2021
,,,,,"Grossbacher, V; Lawrence, AB; Winckler, C; Spinka, M",Negative play contagion in calves,SCIENTIFIC REPORTS,2020,10,1,10.1038/s41598-020-78748-7,J,grossbacher2020
,,,,,"Wu, YN; Yang, YZ; Cao, L; Yin, HQ; Xu, MY; Wang, ZJ; Liu, YY; Wang, X; Deng, Y",Habitat environments impacted the gut microbiome of long-distance migratory swan geese but central species conserved,SCIENTIFIC REPORTS,2018,8,NA,10.1038/s41598-018-31731-9,J,wu2018
,,,,,"Vacquie-Garcia, J; Lydersen, C; Ims, RA; Kovacs, KM","Habitats and movement patterns of white whales Delphinapterus leucas in Svalbard, Norway in a changing climate",MOVEMENT ECOLOGY,2018,6,NA,10.1186/s40462-018-0139-z,J,vacquiegarcia2018
,,,,,"Abalo-Morla, S; Marco, A; Tomas, J; Revuelta, O; Abella, E; Marco, V; Crespo-Picazo, JL; Fernandez, C; Valdes, F; Arroyo, MD; Montero, S; Vazquez, C; Eymar, J; Esteban, JA; Pelegri, J; Belda, EJ",Survival and dispersal routes of head-started loggerhead sea turtle (Caretta caretta) post-hatchlings in the Mediterranean Sea,MARINE BIOLOGY,2018,165,3,10.1007/s00227-018-3306-2,J,abalomorla2018
,,,,,"Arthur, SM; Manly, BFJ; McDonald, LL; Garner, GW",Assessing habitat selection when availability changes,ECOLOGY,1996,77,1,10.2307/2265671,J,arthur1996
